seed,x_T,failed,time_since_last_burst
78,0.9011507726754288,1,3
79,1.0,1,18
80,1.0,1,10
81,0.9176602589249345,1,1
82,-1.0,0,4
83,1.0,1,17
84,0.3282095825526023,0,12
85,-0.2365671579061514,0,2
86,1.0,1,23
87,1.0,1,20
88,1.0,1,17
89,1.0,1,2
90,0.39214808456609296,0,5
91,-0.26401113918550756,0,7
92,-1.0,0,1
93,-0.8161156956862379,0,12
94,-1.0,0,9
95,-0.9348337629196279,0,13
96,0.7170993927364452,1,2
97,1.0,1,48
98,-0.9859968640460544,0,1
99,-1.0,0,1
100,-0.2816582680476891,0,2
101,-1.0,0,8
102,0.8670676956097441,1,1
103,1.0,1,38
104,-0.25217084063142975,0,14
105,-1.0,0,9
106,1.0,1,7
107,-0.6262979364568875,0,9
108,1.0,1,4
109,1.0,1,43
110,-0.6284797779638684,0,4
111,0.08050492918330188,0,1
112,0.5310805437680299,1,0
113,-1.0,0,0
114,0.12934096482711382,0,7
115,-0.21554547967637536,0,0
116,0.7702419207599109,1,0
117,0.8305069317338727,1,3
118,0.8928179704357111,1,2
119,0.7058267859685223,1,10
120,-1.0,0,0
121,-0.9067621208044032,0,11
122,1.0,1,10
123,0.940482509542456,1,1
124,0.9074916253857555,1,1
125,-1.0,0,5
126,0.9483642047635543,1,2
127,-0.5746629222612193,0,15
128,0.9814858613619217,1,2
129,0.922475845174227,1,12
130,0.8532562868021423,1,6
131,0.9629704374318149,1,0
132,-1.0,0,4
133,0.5664084794807915,1,0
134,0.9067966689470017,1,2
135,0.793326987040435,1,1
136,1.0,1,37
137,0.02808377629969605,0,13
138,0.6761920994590837,1,0
139,0.7446478976586597,1,8
140,0.40564136130727246,0,13
141,-0.8689803441886459,0,11
142,0.6208577445557298,1,2
143,0.9535276950192076,1,0
144,-0.3123164736537583,0,3
145,0.618651744161817,1,14
146,-1.0,0,0
147,1.0,1,7
148,-0.9777344343427308,0,10
149,1.0,1,23
150,-1.0,0,2
151,-1.0,0,6
152,0.31592684296238455,0,2
153,1.0,1,20
154,0.10571867209533942,0,14
155,1.0,1,37
156,1.0,1,6
157,0.7642876011194842,1,4
158,1.0,1,28
159,-1.0,0,0
160,-0.6991177007957792,0,12
161,0.9072219832469526,1,0
162,-0.8666911884072827,0,10
163,-0.7814902523002043,0,1
164,-0.5735887168590307,0,11
165,1.0,1,13
166,0.8796308683819729,1,1
167,0.934747968567149,1,1
168,1.0,1,59
169,1.0,1,16
170,-1.0,0,9
171,0.6928791001864668,1,5
172,1.0,1,4
173,-1.0,0,3
174,0.5368071027085854,1,9
175,0.9499354455251433,1,0
176,1.0,1,26
177,-1.0,0,2
178,1.0,1,3
179,-0.16470532149199835,0,17
180,-1.0,0,3
181,-1.0,0,10
182,-0.9839993720457041,0,7
183,1.0,1,26
184,-0.3561464237511079,0,0
185,1.0,1,13
186,1.0,1,17
187,-0.6763834440196483,0,5
188,-1.0,0,4
189,0.49774125271808467,0,5
190,1.0,1,10
191,-1.0,0,5
192,1.0,1,34
193,1.0,1,9
194,0.18673477600879895,0,14
195,-1.0,0,7
196,-0.7879301766780227,0,11
197,-1.0,0,8
198,1.0,1,34
199,1.0,1,45
200,0.06217189101840456,0,0
201,-0.029364218298501138,0,7
202,1.0,1,36
203,-0.9856118408549472,0,8
204,1.0,1,5
205,1.0,1,3
206,-0.8002969728186403,0,10
207,0.9763511627733494,1,0
208,0.9362758887593419,1,0
209,0.2153613127342725,0,17
210,0.9268671532706434,1,2
211,1.0,1,4
212,1.0,1,6
213,1.0,1,17
214,0.09947340679418976,0,12
215,-1.0,0,1
216,1.0,1,16
217,0.8412416208651955,1,10
218,0.8058250167215997,1,3
219,1.0,1,14
220,0.16034818791438094,0,14
221,-1.0,0,7
222,-0.9344861802642244,0,7
223,-0.06969148653856137,0,6
224,-0.22006993044987253,0,3
225,1.0,1,26
226,1.0,1,24
227,-1.0,0,4
228,0.34827468524781824,0,16
229,0.9042181237330651,1,2
230,0.8991226543531846,1,0
231,0.5722961011506528,1,2
232,0.41790504106736537,0,4
233,-1.0,0,1
234,1.0,1,5
235,-1.0,0,7
236,-1.0,0,8
237,1.0,1,10
238,1.0,1,4
239,-0.4387506880231279,0,12
240,1.0,1,5
241,-0.8833503234214648,0,9
242,0.9303379763565122,1,1
243,0.5311998228087055,1,7
244,-0.2768104004299968,0,8
245,0.8286169213466057,1,5
246,1.0,1,30
247,-0.7889598941841164,0,0
248,0.4447166453789399,0,17
249,0.9729476577864864,1,1
250,-1.0,0,0
251,-0.18908748684982873,0,7
252,1.0,1,20
253,-0.780960998804462,0,13
254,1.0,1,4
