C,k,beta2,xbar,dwell
40,35.413291139240506,0.1146677215189873,0.20718479229268638,0.55
40,35.91848101265823,0.10203797468354414,0.20160543614378473,0.55
40,36.42367088607595,0.08940822784810121,0.19502520778319632,0.55
40,36.92886075949367,0.07677848101265816,0.1907533831706268,0.55
40,37.434050632911394,0.06414873417721512,0.18740582217711116,0.55
40,37.939240506329114,0.05151898734177218,0.18281571041538086,0.55
40,38.44443037974684,0.038889240506329026,0.17624997270064272,0.55
40,38.94962025316456,0.02625949367088598,0.16647999681805065,0.55
40,39.45481012658228,0.013629746835442935,0.15642161415918296,0.525
40,39.96,0.0010000000000000009,0.13394900461889808,0.525
50,0.05,0.999,-0.18311037095157837,0.28
50,0.6816455696202532,0.9863670886075949,-0.15086109715879698,0.28
50,1.3132911392405064,0.9737341772151898,-0.11154119620534483,0.3
50,1.9449367088607596,0.9611012658227848,-0.06559414301930587,0.32
50,2.5765822784810126,0.9484683544303798,0.012417852396294332,0.34
50,3.2082278481012656,0.9358354430379747,0.11164989064945502,0.38
50,3.839873417721519,0.9232025316455696,0.1889247322698011,0.42
50,4.4715189873417724,0.9105696202531646,0.2501905884572959,0.44
50,5.103164556962025,0.8979367088607595,0.2992559730603471,0.46
50,5.734810126582278,0.8853037974683544,0.33864508763915147,0.48
50,6.366455696202531,0.8726708860759493,0.3703400856945418,0.5
50,6.998101265822785,0.8600379746835443,0.39595633414530246,0.52
50,7.629746835443038,0.8474050632911392,0.4168663233615839,0.54
50,8.261392405063292,0.8347721518987341,0.4342815931350145,0.56
50,8.893037974683546,0.822139240506329,0.4472235091426848,0.56
50,9.524683544303798,0.8095063291139241,0.45785372617696796,0.56
50,10.156329113924052,0.796873417721519,0.46516692519200065,0.58
50,10.787974683544306,0.7842405063291139,0.4709217640683906,0.58
50,11.419620253164558,0.7716075949367088,0.47289882785208065,0.58
50,12.051265822784812,0.7589746835443038,0.47337902437567764,0.6
50,12.682911392405064,0.7463417721518988,0.4721370599380543,0.6
50,13.314556962025318,0.7337088607594937,0.4674786512545255,0.6
50,13.946202531645572,0.7210759493670886,0.460470024299544,0.6
50,14.577848101265824,0.7084430379746836,0.4511539155649662,0.6
50,15.209493670886078,0.6958101265822785,0.43926469065080737,0.6
50,15.841139240506331,0.6831772151898734,0.42456157872878675,0.6
50,16.472784810126583,0.6705443037974683,0.42264566645912494,0.6
50,17.104430379746837,0.6579113924050632,0.42125950770509624,0.6
50,17.73607594936709,0.6452784810126582,0.41949812418277177,0.62
50,18.367721518987345,0.6326455696202531,0.4173184209883685,0.62
50,18.999367088607595,0.620012658227848,0.41488037737853634,0.62
50,19.63101265822785,0.6073797468354429,0.41173673846570474,0.62
50,20.262658227848103,0.5947468354430379,0.40785086921546765,0.62
50,20.894303797468357,0.5821139240506328,0.4048108365560499,0.62
50,21.52594936708861,0.5694810126582277,0.40112053722816216,0.62
50,22.15759493670886,0.5568481012658228,0.39680099833640897,0.62
50,22.789240506329115,0.5442151898734178,0.39358048783358757,0.62
50,23.42088607594937,0.5315822784810127,0.39003353666935814,0.62
50,24.052531645569623,0.5189493670886076,0.38603228197307154,0.62
50,24.684177215189877,0.5063164556962025,0.38164564332975176,0.62
50,25.315822784810127,0.49368354430379746,0.3786505855909462,0.62
50,25.94746835443038,0.4810506329113924,0.3753240844498184,0.62
50,26.579113924050635,0.4684177215189873,0.3716483334334342,0.62
50,27.21075949367089,0.45578481012658223,0.36760060685112095,0.62
50,27.842405063291142,0.44315189873417715,0.3637656732272708,0.62
50,28.474050632911396,0.4305189873417721,0.3610055284135394,0.62
50,29.105696202531647,0.4178860759493671,0.3579679143150212,0.62
50,29.7373417721519,0.40525316455696203,0.35462756711870047,0.62
50,30.368987341772154,0.39262025316455695,0.3509560025676908,0.62
50,31.000632911392408,0.3799873417721519,0.3469216300417851,0.62
50,31.632278481012662,0.3673544303797468,0.34385084094549057,0.62
50,32.26392405063291,0.35472151898734183,0.3413537990845296,0.62
50,32.89556962025316,0.34208860759493676,0.3385960473996655,0.62
50,33.52721518987342,0.3294556962025317,0.335547830031465,0.62
50,34.15886075949367,0.3168227848101266,0.33217572560525965,0.62
50,34.790506329113924,0.3041898734177215,0.3284425134122941,0.62
50,35.42215189873418,0.29155696202531645,0.3243071847945649,0.62
50,36.05379746835443,0.27892405063291137,0.322108122616454,0.62
50,36.685443037974686,0.2662911392405063,0.3198261302171607,0.62
50,37.31708860759493,0.2536582278481013,0.31726838563243126,0.62
50,37.94873417721519,0.24102531645569625,0.3143943121319151,0.62
50,38.58037974683544,0.22839240506329117,0.31115680546458985,0.62
50,39.212025316455694,0.2157594936708861,0.3075016259161536,0.62
50,39.84367088607595,0.20312658227848102,0.30336706760462495,0.62
50,40.4753164556962,0.19049367088607594,0.30001016273399933,0.6
50,41.106962025316456,0.17786075949367086,0.2980516058815029,0.6
50,41.73860759493671,0.16522784810126578,0.2957779958745768,0.6
50,42.370253164556964,0.1525949367088607,0.2931194536103868,0.6
50,43.00189873417722,0.13996202531645563,0.2899870404880643,0.6
50,43.63354430379747,0.12732911392405055,0.28626784620429857,0.6
